Category,Neutral,Oppose,Support
Financial Services,10,1,2
Government,108,75,244
Input,5,0,5
Marketing and Distribution,0,0,1
NGO,149,96,230
Political Party,70,100,205
Primary and Secondary Processing and Packaging - Larger Globally operating Co-operatives/Businesses,3,0,8
Primary and Secondary Processing and Packaging - Small Businesses,1,0,4
Production,1,1,2
Production - Associations,25,28,42
Production - Small co-operatives,29,7,35
Research and Regulatory,76,12,52
Trade association,8,0,6
